record_id,class,failure_score,predicted_class,priority_level,recommended_action
9396,pos,0.9999143540696505,pos,alta,inspeccion inmediata
15298,pos,0.9998859770171645,pos,alta,inspeccion inmediata
11828,pos,0.9998735852213603,pos,alta,inspeccion inmediata
3581,pos,0.9998701463492898,pos,alta,inspeccion inmediata
9795,pos,0.9998565066656235,pos,alta,inspeccion inmediata
14425,pos,0.99985022778433,pos,alta,inspeccion inmediata
10681,pos,0.999765862970296,pos,alta,inspeccion inmediata
4268,pos,0.9997626288348327,pos,alta,inspeccion inmediata
1796,pos,0.9997622743645829,pos,alta,inspeccion inmediata
1566,pos,0.99976143674515,pos,alta,inspeccion inmediata
4405,pos,0.9997490801052045,pos,alta,inspeccion inmediata
13629,pos,0.9997270948235824,pos,alta,inspeccion inmediata
9418,pos,0.9997100423176096,pos,alta,inspeccion inmediata
11538,pos,0.9996967861066465,pos,alta,inspeccion inmediata
12470,pos,0.9996872683560053,pos,alta,inspeccion inmediata
3336,pos,0.9996828417930926,pos,alta,inspeccion inmediata
9275,pos,0.9996451194780176,pos,alta,inspeccion inmediata
13604,pos,0.9996236923051154,pos,alta,inspeccion inmediata
1161,pos,0.9995945822039096,pos,alta,inspeccion inmediata
3846,pos,0.9995911383978954,pos,alta,inspeccion inmediata
14088,pos,0.9995866982498236,pos,alta,inspeccion inmediata
1277,pos,0.9995727814934563,pos,alta,inspeccion inmediata
6159,pos,0.9995602211499341,pos,alta,inspeccion inmediata
10840,pos,0.9995550779226009,pos,alta,inspeccion inmediata
15416,pos,0.9995412720867342,pos,alta,inspeccion inmediata
728,pos,0.9995322249813581,pos,alta,inspeccion inmediata
12660,pos,0.9994921703803561,pos,alta,inspeccion inmediata
5977,pos,0.999419910745883,pos,alta,inspeccion inmediata
3649,pos,0.999396663230441,pos,alta,inspeccion inmediata
9196,pos,0.9993784153803279,pos,alta,inspeccion inmediata
2936,pos,0.999309542960405,pos,alta,inspeccion inmediata
6842,pos,0.9992883038708886,pos,alta,inspeccion inmediata
6258,pos,0.9992262615835236,pos,alta,inspeccion inmediata
10561,pos,0.999222622205067,pos,alta,inspeccion inmediata
9322,pos,0.9992070254701574,pos,alta,inspeccion inmediata
7498,pos,0.9991864834604982,pos,alta,inspeccion inmediata
12134,pos,0.9991864311795746,pos,alta,inspeccion inmediata
2284,pos,0.9991639160812047,pos,alta,inspeccion inmediata
9940,pos,0.999121540922697,pos,alta,inspeccion inmediata
2800,pos,0.9990754716985546,pos,alta,inspeccion inmediata
5069,pos,0.9990595166800149,pos,alta,inspeccion inmediata
10937,pos,0.9990367193061602,pos,alta,inspeccion inmediata
15783,pos,0.9990329935267114,pos,alta,inspeccion inmediata
3363,pos,0.9990012226779246,pos,alta,inspeccion inmediata
12361,pos,0.9989822849878293,pos,alta,inspeccion inmediata
7987,pos,0.9989506671533653,pos,alta,inspeccion inmediata
5633,pos,0.9989193966152038,pos,alta,inspeccion inmediata
2528,pos,0.9989082511552336,pos,alta,inspeccion inmediata
2778,pos,0.9988431274790653,pos,alta,inspeccion inmediata
13897,pos,0.9988121561623295,pos,alta,inspeccion inmediata
10838,pos,0.9987687992612375,pos,alta,inspeccion inmediata
13329,pos,0.9987082609126984,pos,alta,inspeccion inmediata
8166,pos,0.998705108512249,pos,alta,inspeccion inmediata
10759,pos,0.9986844664724558,pos,alta,inspeccion inmediata
612,pos,0.9986494031079864,pos,alta,inspeccion inmediata
12964,pos,0.9986271421943146,pos,alta,inspeccion inmediata
11021,pos,0.9985828571757985,pos,alta,inspeccion inmediata
5212,pos,0.998560808842772,pos,alta,inspeccion inmediata
4384,pos,0.9984944137047956,pos,alta,inspeccion inmediata
2531,pos,0.9984726909878373,pos,alta,inspeccion inmediata
9621,pos,0.9984726649996407,pos,alta,inspeccion inmediata
13664,pos,0.9984497936378298,pos,alta,inspeccion inmediata
9581,pos,0.9983166424690872,pos,alta,inspeccion inmediata
10334,pos,0.9982909579927328,pos,alta,inspeccion inmediata
9179,pos,0.9982730432782821,pos,alta,inspeccion inmediata
12990,pos,0.9982729871395646,pos,alta,inspeccion inmediata
4009,pos,0.9982624374077972,pos,alta,inspeccion inmediata
9648,pos,0.9982440848423497,pos,alta,inspeccion inmediata
9842,pos,0.9982436656455649,pos,alta,inspeccion inmediata
2027,pos,0.9982436656455649,pos,alta,inspeccion inmediata
3685,pos,0.9981247246033194,pos,alta,inspeccion inmediata
12231,pos,0.9980942701540628,pos,alta,inspeccion inmediata
5999,pos,0.9980797880084712,pos,alta,inspeccion inmediata
8308,pos,0.9980337042532734,pos,alta,inspeccion inmediata
2587,pos,0.9979945240583129,pos,alta,inspeccion inmediata
14906,pos,0.9979606050984002,pos,alta,inspeccion inmediata
12166,pos,0.997870172065547,pos,alta,inspeccion inmediata
3988,pos,0.9978627291517781,pos,alta,inspeccion inmediata
7026,pos,0.9976381749105098,pos,alta,inspeccion inmediata
12127,pos,0.9976102579128718,pos,alta,inspeccion inmediata
1128,pos,0.9975834135067643,pos,alta,inspeccion inmediata
11294,pos,0.9975620845786195,pos,alta,inspeccion inmediata
3294,pos,0.9975544006198347,pos,alta,inspeccion inmediata
3893,pos,0.9975423284890638,pos,alta,inspeccion inmediata
834,pos,0.9975417465429515,pos,alta,inspeccion inmediata
4782,pos,0.9974742730004003,pos,alta,inspeccion inmediata
13128,pos,0.9974211916514618,pos,alta,inspeccion inmediata
583,pos,0.9974211916514618,pos,alta,inspeccion inmediata
13469,pos,0.9973631393622631,pos,alta,inspeccion inmediata
7445,pos,0.9973541490574385,pos,alta,inspeccion inmediata
15994,pos,0.9973082272304373,pos,alta,inspeccion inmediata
13478,pos,0.9972904352779428,pos,alta,inspeccion inmediata
10316,pos,0.9972687781545744,pos,alta,inspeccion inmediata
6497,pos,0.997191635158674,pos,alta,inspeccion inmediata
2071,pos,0.9971668857015001,pos,alta,inspeccion inmediata
11816,pos,0.9969775415571526,pos,alta,inspeccion inmediata
14560,pos,0.9969775415571526,pos,alta,inspeccion inmediata
11380,pos,0.9969164930737805,pos,alta,inspeccion inmediata
7223,pos,0.9968478289289698,pos,alta,inspeccion inmediata
908,pos,0.9968181420322006,pos,alta,inspeccion inmediata
8933,pos,0.9967824882224826,pos,alta,inspeccion inmediata
13568,pos,0.996760966369507,pos,alta,inspeccion inmediata
1829,pos,0.9967156063525415,pos,alta,inspeccion inmediata
7138,pos,0.9967154711332158,pos,alta,inspeccion inmediata
4056,pos,0.9966533725684574,pos,alta,inspeccion inmediata
9441,pos,0.9966507471068577,pos,alta,inspeccion inmediata
6950,pos,0.9965452395233262,pos,alta,inspeccion inmediata
6981,pos,0.9965176449943808,pos,alta,inspeccion inmediata
14995,pos,0.996445371486151,pos,alta,inspeccion inmediata
15420,pos,0.996374689845556,pos,alta,inspeccion inmediata
13851,pos,0.9963189354488325,pos,alta,inspeccion inmediata
1881,pos,0.9963169863394252,pos,alta,inspeccion inmediata
9372,pos,0.9961975678480097,pos,alta,inspeccion inmediata
890,pos,0.9961514143074724,pos,alta,inspeccion inmediata
11783,pos,0.9958970326087168,pos,alta,inspeccion inmediata
6130,pos,0.9957522538617501,pos,alta,inspeccion inmediata
9594,pos,0.9957437028820504,pos,alta,inspeccion inmediata
5851,pos,0.9956904609804652,pos,alta,inspeccion inmediata
10550,pos,0.9955795940208177,pos,alta,inspeccion inmediata
4108,pos,0.9955347897000948,pos,alta,inspeccion inmediata
6904,pos,0.9955129920985923,pos,alta,inspeccion inmediata
8519,pos,0.9953781668947426,pos,alta,inspeccion inmediata
2530,pos,0.9950729266356096,pos,alta,inspeccion inmediata
5460,pos,0.9949803230762253,pos,alta,inspeccion inmediata
6511,pos,0.9949338511421941,pos,alta,inspeccion inmediata
6286,pos,0.9949280497007394,pos,alta,inspeccion inmediata
3227,pos,0.9948957851704409,pos,alta,inspeccion inmediata
4717,neg,0.9947167921990718,pos,alta,inspeccion inmediata
14008,pos,0.994588995039014,pos,alta,inspeccion inmediata
13270,pos,0.9945792784623744,pos,alta,inspeccion inmediata
8706,pos,0.9945590773555419,pos,alta,inspeccion inmediata
6823,pos,0.9944170150717889,pos,alta,inspeccion inmediata
3225,pos,0.9941781770316662,pos,alta,inspeccion inmediata
9531,pos,0.9941638479757532,pos,alta,inspeccion inmediata
3844,pos,0.9941538178726052,pos,alta,inspeccion inmediata
4367,pos,0.9940282061490289,pos,alta,inspeccion inmediata
13143,pos,0.9939442037260067,pos,alta,inspeccion inmediata
5491,pos,0.9939123344362851,pos,alta,inspeccion inmediata
5101,pos,0.9938368885998837,pos,alta,inspeccion inmediata
6927,pos,0.993752100976955,pos,alta,inspeccion inmediata
11620,neg,0.993648908884796,pos,alta,inspeccion inmediata
2570,pos,0.9935804721881869,pos,alta,inspeccion inmediata
441,pos,0.9934567717145408,pos,alta,inspeccion inmediata
1973,pos,0.9934306412461446,pos,alta,inspeccion inmediata
7380,pos,0.9933667594263156,pos,alta,inspeccion inmediata
10781,pos,0.9933576002322831,pos,alta,inspeccion inmediata
11952,pos,0.9932362575575292,pos,alta,inspeccion inmediata
1462,pos,0.9932120192227819,pos,alta,inspeccion inmediata
3422,pos,0.9932018159572823,pos,alta,inspeccion inmediata
3995,pos,0.9929737570384354,pos,alta,inspeccion inmediata
15011,pos,0.9928531517529793,pos,alta,inspeccion inmediata
15955,pos,0.9928408424814331,pos,alta,inspeccion inmediata
11532,pos,0.9927203232023566,pos,alta,inspeccion inmediata
13248,pos,0.9927023155743846,pos,alta,inspeccion inmediata
3248,pos,0.9926918380627698,pos,alta,inspeccion inmediata
1851,pos,0.9926397535231887,pos,alta,inspeccion inmediata
7516,pos,0.9924761736305269,pos,alta,inspeccion inmediata
3762,pos,0.9923008208489488,pos,alta,inspeccion inmediata
5715,pos,0.992157319901533,pos,alta,inspeccion inmediata
1691,pos,0.9920809930528677,pos,alta,inspeccion inmediata
4220,pos,0.9917822926641144,pos,alta,inspeccion inmediata
3010,pos,0.9917058135874841,pos,alta,inspeccion inmediata
14204,pos,0.9916635422053856,pos,alta,inspeccion inmediata
1348,pos,0.9916301373917346,pos,alta,inspeccion inmediata
3742,pos,0.9913419221273427,pos,alta,inspeccion inmediata
10655,pos,0.9912220786089005,pos,alta,inspeccion inmediata
15711,pos,0.9910452846276734,pos,alta,inspeccion inmediata
11739,pos,0.9908243477165068,pos,alta,inspeccion inmediata
7655,pos,0.9908090111830734,pos,alta,inspeccion inmediata
4474,pos,0.9905071023986424,pos,alta,inspeccion inmediata
970,neg,0.9902877651802005,pos,alta,inspeccion inmediata
5105,neg,0.9901633601129485,pos,alta,inspeccion inmediata
928,pos,0.990078148180683,pos,alta,inspeccion inmediata
3513,pos,0.9896975044754642,pos,alta,inspeccion inmediata
2721,pos,0.9895707109852788,pos,alta,inspeccion inmediata
853,pos,0.9895650707714608,pos,alta,inspeccion inmediata
3534,pos,0.9894819284841386,pos,alta,inspeccion inmediata
6227,pos,0.9894354694364158,pos,alta,inspeccion inmediata
426,pos,0.9894212954395901,pos,alta,inspeccion inmediata
9430,pos,0.9891887486587467,pos,alta,inspeccion inmediata
9949,pos,0.9889810591622782,pos,alta,inspeccion inmediata
10647,pos,0.9889324045196366,pos,alta,inspeccion inmediata
434,pos,0.9887439966865345,pos,alta,inspeccion inmediata
1227,pos,0.9886276047367417,pos,alta,inspeccion inmediata
12387,pos,0.9886211250772412,pos,alta,inspeccion inmediata
12379,pos,0.9883162684904994,pos,alta,inspeccion inmediata
4889,pos,0.9881318578303124,pos,alta,inspeccion inmediata
13690,neg,0.9880640467821389,pos,alta,inspeccion inmediata
11519,pos,0.9877937846993857,pos,alta,inspeccion inmediata
7952,pos,0.9877201400155131,pos,alta,inspeccion inmediata
7131,pos,0.9875182955437717,pos,alta,inspeccion inmediata
8964,pos,0.9874475111241542,pos,alta,inspeccion inmediata
798,pos,0.9870759879391814,pos,alta,inspeccion inmediata
15799,pos,0.9870069189728593,pos,alta,inspeccion inmediata
10121,pos,0.9868801438655358,pos,alta,inspeccion inmediata
8080,pos,0.9866666662306198,pos,alta,inspeccion inmediata
10057,pos,0.9865395060171672,pos,alta,inspeccion inmediata
10482,pos,0.9861213808875505,pos,alta,inspeccion inmediata
13124,pos,0.9856658282600339,pos,alta,inspeccion inmediata
11780,pos,0.9856325331118719,pos,alta,inspeccion inmediata
5934,pos,0.985089118868813,pos,alta,inspeccion inmediata
7208,pos,0.9850519786525757,pos,alta,inspeccion inmediata
5641,pos,0.984983230148244,pos,alta,inspeccion inmediata
5169,pos,0.9846579059370315,pos,alta,inspeccion inmediata
6923,neg,0.984438484586607,pos,alta,inspeccion inmediata
3482,pos,0.9843806756294019,pos,alta,inspeccion inmediata
1429,neg,0.9842368403917365,pos,alta,inspeccion inmediata
12573,pos,0.9841319857865224,pos,alta,inspeccion inmediata
15736,pos,0.9837286008740538,pos,alta,inspeccion inmediata
14080,pos,0.9836659217844759,pos,alta,inspeccion inmediata
6161,pos,0.9836015440967883,pos,alta,inspeccion inmediata
6319,pos,0.9833130865182339,pos,alta,inspeccion inmediata
833,pos,0.983208166662771,pos,alta,inspeccion inmediata
8039,pos,0.9829528248769364,pos,alta,inspeccion inmediata
7277,pos,0.9829370655888283,pos,alta,inspeccion inmediata
15155,pos,0.9825445289332421,pos,alta,inspeccion inmediata
7513,pos,0.9822110450600078,pos,alta,inspeccion inmediata
950,pos,0.9817726867126669,pos,alta,inspeccion inmediata
13441,pos,0.9814580749478586,pos,alta,inspeccion inmediata
3547,pos,0.9811651393564926,pos,alta,inspeccion inmediata
15201,pos,0.9803764911078375,pos,alta,inspeccion inmediata
12310,pos,0.9802954417733918,pos,alta,inspeccion inmediata
9358,neg,0.9801665288177043,pos,alta,inspeccion inmediata
12903,pos,0.979828641488952,pos,alta,inspeccion inmediata
42,pos,0.979317549092862,pos,alta,inspeccion inmediata
9129,pos,0.9792861929427671,pos,alta,inspeccion inmediata
8750,pos,0.9782550283206137,pos,alta,inspeccion inmediata
13011,pos,0.9782457779854953,pos,alta,inspeccion inmediata
5588,pos,0.9781960559732417,pos,alta,inspeccion inmediata
10155,neg,0.9779875522851765,pos,alta,inspeccion inmediata
1888,pos,0.9774073187730679,pos,alta,inspeccion inmediata
5687,pos,0.9773629473374197,pos,alta,inspeccion inmediata
8499,pos,0.9763942109970662,pos,alta,inspeccion inmediata
9382,pos,0.9762510000901449,pos,alta,inspeccion inmediata
